profile_id,smic_multiple,employer_cost_monthly_eur_may,employer_cost_monthly_eur_june,delta_cost_eur,delta_cost_pct
non_cadre__standard__standard,2.57,6607.51,6772.62,165.10999999999967,2.4988233086291154
non_cadre__standard__standard,2.58,6634.07,6799.84,165.77000000000044,2.498767724790369
non_cadre__standard__standard,2.59,6660.64,6827.07,166.42999999999938,2.498708832784828
non_cadre__standard__standard,2.6,6687.69,6854.31,166.6200000000008,2.4914432337623427
non_cadre__standard__standard,2.61,6714.27,6881.56,167.28999999999996,2.4915590227977122
non_cadre__standard__standard,2.62,6740.86,6908.32,167.46000000000004,2.4842527511326455
non_cadre__standard__standard,2.63,6767.45,6935.58,168.1300000000001,2.4843922009028527
non_cadre__standard__standard,2.64,6794.06,6962.85,168.78999999999996,2.4843760579094085
non_cadre__standard__standard,2.65,6820.19,6989.63,169.4400000000005,2.4843882648430693
non_cadre__standard__standard,2.66,6846.8,7016.91,170.10999999999967,2.484518315125309
non_cadre__standard__standard,2.67,6873.43,7043.7,170.26999999999953,2.4772202524794684
non_cadre__standard__standard,2.68,6900.06,7070.49,170.42999999999938,2.469978521925887
non_cadre__standard__standard,2.69,6926.21,7097.79,171.57999999999993,2.477256681504025
non_cadre__standard__standard,2.7,6952.85,7124.59,171.73999999999978,2.4700662318329862
non_cadre__standard__standard,2.71,6979.01,7151.39,172.3800000000001,2.4699778335322646
non_cadre__standard__standard,2.72,7005.67,7178.2,172.52999999999975,2.4627194829331063
non_cadre__standard__standard,2.73,7031.83,7205.02,173.1900000000005,2.4629435011938643
non_cadre__standard__standard,2.74,7058.5,7232.35,173.85000000000036,2.4629878869448234
non_cadre__standard__standard,2.75,7084.68,7259.18,174.5,2.4630611403761353
non_cadre__standard__standard,2.76,7110.86,7285.49,174.6300000000001,2.4558210961824605
non_cadre__standard__standard,2.77,7137.55,7312.32,174.76999999999953,2.4485993092867933
non_cadre__standard__standard,2.78,7163.74,7339.15,175.40999999999985,2.4485813276305373
non_cadre__standard__standard,2.79,7189.93,7365.99,176.0599999999995,2.4487025603865336
non_cadre__standard__standard,2.8,7216.12,7392.83,176.71000000000004,2.4488229131444603
non_cadre__standard__standard,2.81,7242.32,7419.67,177.35000000000036,2.4488009367164163
non_cadre__standard__standard,2.82,7268.53,7445.99,177.46000000000004,2.4414840414774384
non_cadre__standard__standard,2.83,7294.73,7472.84,178.11000000000058,2.441625666748469
non_cadre__standard__standard,2.84,7320.96,7499.16,178.19999999999982,2.4341070023603435
non_cadre__standard__standard,2.85,7346.65,7526.02,179.3700000000008,2.441520965337954
non_cadre__standard__standard,2.86,7372.87,7552.34,179.47000000000025,2.4341945538169023
non_cadre__standard__standard,2.87,7399.09,7579.2,180.10999999999967,2.4342182619754547
non_cadre__standard__standard,2.88,7425.31,7605.53,180.21999999999935,2.427104053568125
non_cadre__standard__standard,2.89,7451.01,7631.85,180.84000000000015,2.427053513550514
non_cadre__standard__standard,2.9,7477.24,7658.72,181.48000000000047,2.4270987690645276
non_cadre__standard__standard,2.91,7502.94,7685.05,182.11000000000058,2.4271818780371506
non_cadre__standard__standard,2.92,7529.17,7711.37,182.19999999999982,2.419921452165376
non_cadre__standard__standard,2.93,7554.88,7847.11,292.22999999999956,3.8680958532762872
non_cadre__standard__standard,2.94,7581.12,7873.81,292.6900000000005,3.860775188890303
non_cadre__standard__standard,2.95,7606.82,7900.51,293.6900000000005,3.8608774757388833
non_cadre__standard__standard,2.96,7632.53,7927.21,294.6800000000003,3.8608429970141
non_cadre__standard__standard,2.97,7658.77,7953.91,295.1399999999994,3.8536214039591137
non_cadre__standard__standard,2.98,7684.48,7980.61,296.1300000000001,3.853611434996254
non_cadre__standard__standard,2.99,7710.19,8007.32,297.1300000000001,3.853731231007279
non_cadre__standard__standard,3.0,7735.9,8034.02,298.1200000000008,3.853720963300984
non_cadre__standard__standard,3.01,7871.35,8060.72,189.3699999999999,2.4058134881564137
non_cadre__standard__standard,3.02,7897.42,8087.42,190.0,2.405848998786946
non_cadre__standard__standard,3.03,7923.49,8114.12,190.6300000000001,2.4058842757421304
non_cadre__standard__standard,3.04,7949.57,8140.82,191.25,2.405790501876202
non_cadre__standard__standard,3.05,7975.64,8167.52,191.8800000000001,2.4058257393764024
non_cadre__standard__standard,3.06,8001.71,8194.22,192.5099999999993,2.4058607472652636
non_cadre__standard__standard,3.07,8027.78,8220.92,193.14000000000033,2.405895527779789
non_cadre__standard__standard,3.08,8053.85,8247.63,193.77999999999884,2.4060542473475275
non_cadre__standard__standard,3.09,8079.92,8274.33,194.40999999999985,2.4060881790908804
non_cadre__standard__standard,3.1,8106.0,8301.03,195.03000000000065,2.4059955588453077
non_cadre__standard__standard,3.11,8132.07,8327.73,195.65999999999985,2.4060294611335102
non_cadre__standard__standard,3.12,8158.14,8354.43,196.28999999999996,2.406063146746684
non_cadre__standard__standard,3.13,8184.21,8381.13,196.91999999999916,2.406096617755399
non_cadre__standard__standard,3.14,8210.28,8407.83,197.54999999999927,2.4061298762039693
non_cadre__standard__standard,3.15,8236.36,8434.53,198.17000000000007,2.4060385898625127
non_cadre__standard__standard,3.16,8262.43,8461.23,198.79999999999927,2.406071821485922
non_cadre__standard__standard,3.17,8288.51,8487.93,199.42000000000007,2.405981292174348
non_cadre__standard__standard,3.18,8314.59,8514.64,200.04999999999927,2.406011601293621
non_cadre__standard__standard,3.19,8340.66,8541.34,200.6800000000003,2.406044605582775
non_cadre__standard__standard,3.2,8366.73,8568.04,201.3100000000013,2.406077404194964
non_cadre__standard__standard,3.21,8392.8,8594.74,201.9400000000005,2.4061099990468082
non_cadre__standard__standard,3.22,8418.87,8621.44,202.5699999999997,2.406142392031231
non_cadre__standard__standard,3.23,8444.94,8648.14,203.1999999999989,2.406174585017761
non_cadre__standard__standard,3.24,8471.02,8674.84,203.8199999999997,2.406085689798864
non_cadre__standard__standard,3.25,8497.09,8701.54,204.45000000000073,2.4061178591729724
non_cadre__standard__standard,3.26,8523.16,8728.26,205.10000000000036,2.4063844865050097
non_cadre__standard__standard,3.27,8549.23,8754.96,205.72999999999956,2.4064155485347754
non_cadre__standard__standard,3.28,8575.3,8781.66,206.36000000000058,2.406446421699539
non_cadre__standard__standard,3.29,8601.38,8808.36,206.98000000000138,2.4063580495223023
non_cadre__standard__standard,3.3,8627.45,8835.06,207.60999999999876,2.406388909816907
non_cadre__standard__standard,3.31,8653.52,8861.76,208.23999999999978,2.406419584169214
non_cadre__standard__standard,3.32,8679.59,8888.47,208.8799999999992,2.406565287070002
non_cadre__standard__standard,3.33,8705.66,8915.17,209.51000000000022,2.4065952495273217
non_cadre__standard__standard,3.34,8731.73,8941.87,210.14000000000124,2.4066250330690626
non_cadre__standard__standard,3.35,8757.81,8968.57,210.76000000000022,2.406537707486235
non_cadre__standard__standard,3.36,8783.88,8995.27,211.39000000000124,2.406567484983871
non_cadre__standard__standard,3.37,8809.95,9021.97,212.01999999999862,2.4065970862490547
non_cadre__standard__standard,3.38,8836.02,9048.67,212.64999999999964,2.40662651284175
non_cadre__standard__standard,3.39,8862.09,9075.37,213.28000000000065,2.4066557663034414
non_cadre__standard__standard,3.4,8888.17,9102.07,213.89999999999964,2.406569631318929
non_cadre__standard__standard,3.41,8914.24,9128.78,214.54000000000087,2.406711060056728
non_cadre__standard__standard,3.42,8940.31,9155.48,215.17000000000007,2.4067398110356364
non_cadre__standard__standard,3.43,8966.38,9182.18,215.8000000000011,2.406768394826018
non_cadre__standard__standard,3.44,8992.45,9208.88,216.42999999999847,2.4067968128819004
non_cadre__standard__standard,3.45,9018.52,9235.58,217.0599999999995,2.4068250666406406
non_cadre__standard__standard,3.46,9044.6,9262.28,217.6800000000003,2.406739933219825
non_cadre__standard__standard,3.47,9070.67,9288.98,218.3099999999995,2.4067681880169767
non_cadre__standard__standard,3.48,9096.74,9315.68,218.9400000000005,2.4067962808654584
non_cadre__standard__standard,3.49,9122.81,9342.38,219.5699999999997,2.4068242131536195
non_cadre__standard__standard,3.5,9148.88,9369.09,220.21000000000095,2.4069612892507166
