smic_multiple,rgdu_monthly_eur_may,rgdu_monthly_eur_june,delta_rgdu_eur
2.5,121.69,117.16,-4.530000000000001
2.51,120.8,116.69,-4.109999999999999
2.52,120.36,116.21,-4.150000000000006
2.53,119.46,115.25,-4.209999999999994
2.54,119.0,114.76,-4.239999999999995
2.55,118.08,114.26,-3.819999999999993
2.56,117.61,113.75,-3.8599999999999994
2.57,116.66,113.24,-3.4200000000000017
2.58,116.17,112.72,-3.450000000000003
2.59,115.68,112.19,-3.490000000000009
2.6,114.71,111.65,-3.059999999999988
2.61,114.19,111.1,-3.0900000000000034
2.62,113.68,111.04,-2.6400000000000006
2.63,113.15,110.48,-2.6700000000000017
2.64,112.62,109.92,-2.700000000000003
2.65,112.56,109.84,-2.719999999999999
2.66,112.02,109.26,-2.759999999999991
2.67,111.47,109.17,-2.299999999999997
2.68,110.91,109.08,-1.8299999999999983
2.69,110.83,108.48,-2.3499999999999943
2.7,110.26,108.38,-1.8800000000000097
2.71,110.17,108.28,-1.8900000000000006
2.72,109.59,108.17,-1.4200000000000017
2.73,109.49,108.06,-1.4299999999999926
2.74,108.89,107.43,-1.4599999999999937
2.75,108.79,107.31,-1.480000000000004
2.76,108.68,107.7,-0.980000000000004
2.77,108.07,107.57,-0.5
2.78,107.95,107.44,-0.5100000000000051
2.79,107.83,107.31,-0.519999999999996
2.8,107.7,107.17,-0.5300000000000011
2.81,107.58,107.03,-0.5499999999999972
2.82,107.45,107.41,-0.04000000000000625
2.83,107.31,107.26,-0.04999999999999716
2.84,107.17,107.64,0.46999999999999886
2.85,107.55,107.48,-0.06999999999999318
2.86,107.41,107.86,0.45000000000000284
2.87,107.26,107.7,0.4399999999999977
2.88,107.11,108.08,0.9699999999999989
2.89,107.48,108.45,0.9699999999999989
2.9,107.32,108.29,0.9700000000000131
2.91,107.69,108.66,0.9699999999999989
2.92,107.53,109.03,1.5
2.93,107.9,0.0,-107.9
2.94,107.73,0.0,-107.73
2.95,108.1,0.0,-108.1
2.96,108.46,0.0,-108.46
2.97,108.29,0.0,-108.29
2.98,108.65,0.0,-108.65
2.99,109.02,0.0,-109.02
3.0,109.38,0.0,-109.38
3.01,0.0,0.0,0.0
3.02,0.0,0.0,0.0
3.03,0.0,0.0,0.0
3.04,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.06,0.0,0.0,0.0
3.07,0.0,0.0,0.0
3.08,0.0,0.0,0.0
3.09,0.0,0.0,0.0
3.1,0.0,0.0,0.0
3.11,0.0,0.0,0.0
3.12,0.0,0.0,0.0
3.13,0.0,0.0,0.0
3.14,0.0,0.0,0.0
3.15,0.0,0.0,0.0
3.16,0.0,0.0,0.0
3.17,0.0,0.0,0.0
3.18,0.0,0.0,0.0
3.19,0.0,0.0,0.0
3.2,0.0,0.0,0.0
3.21,0.0,0.0,0.0
3.22,0.0,0.0,0.0
3.23,0.0,0.0,0.0
3.24,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.26,0.0,0.0,0.0
3.27,0.0,0.0,0.0
3.28,0.0,0.0,0.0
3.29,0.0,0.0,0.0
3.3,0.0,0.0,0.0
3.31,0.0,0.0,0.0
3.32,0.0,0.0,0.0
3.33,0.0,0.0,0.0
3.34,0.0,0.0,0.0
3.35,0.0,0.0,0.0
3.36,0.0,0.0,0.0
3.37,0.0,0.0,0.0
3.38,0.0,0.0,0.0
3.39,0.0,0.0,0.0
3.4,0.0,0.0,0.0
3.41,0.0,0.0,0.0
3.42,0.0,0.0,0.0
3.43,0.0,0.0,0.0
3.44,0.0,0.0,0.0
3.45,0.0,0.0,0.0
3.46,0.0,0.0,0.0
3.47,0.0,0.0,0.0
3.48,0.0,0.0,0.0
3.49,0.0,0.0,0.0
3.5,0.0,0.0,0.0
