source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.64,2989.77,2344.75,3990.29,645.02,1000.52,1645.54,0.2157,0.3346,0.4124,1.7018,301.97,0.101,0.0757,1645.54,1000.52,645.02,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.65,3008.0,2359.19,4020.22,648.81,1012.22,1661.03,0.2157,0.3365,0.4132,1.7041,298.09,0.0991,0.0741,1661.03,1012.22,648.81,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.66,3026.23,2373.62,4049.91,652.61,1023.68,1676.29,0.2157,0.3383,0.4139,1.7062,294.45,0.0973,0.0727,1676.29,1023.68,652.61,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.67,3044.46,2388.05,4079.67,656.41,1035.21,1691.62,0.2156,0.34,0.4146,1.7084,290.75,0.0955,0.0713,1691.62,1035.21,656.41,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.68,3062.69,2402.48,4109.49,660.21,1046.8,1707.01,0.2156,0.3418,0.4154,1.7105,286.97,0.0937,0.0698,1707.01,1046.8,660.21,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.69,3080.92,2416.91,4139.07,664.01,1058.15,1722.16,0.2155,0.3435,0.4161,1.7125,283.44,0.092,0.0685,1722.16,1058.15,664.01,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.7,3099.15,2431.34,4168.71,667.81,1069.56,1737.37,0.2155,0.3451,0.4168,1.7146,279.85,0.0903,0.0671,1737.37,1069.56,667.81,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.71,3117.38,2445.77,4198.41,671.61,1081.03,1752.64,0.2154,0.3468,0.4175,1.7166,276.2,0.0886,0.0658,1752.64,1081.03,671.61,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.72,3135.61,2460.2,4227.86,675.41,1092.25,1767.66,0.2154,0.3483,0.4181,1.7185,272.8,0.087,0.0645,1767.66,1092.25,675.41,8,27,37,ok,
mon-entreprise,api/v1/evaluate,non_cadre__standard__standard,Non-cadre · Hors Alsace-Moselle · AT/MP standard,Non-executive · Outside Alsace-Moselle · Standard AT/MP,non_cadre,standard,standard,salarié . cotisations . exonérations . RGDU,1.73,3153.84,2474.63,4257.37,679.21,1103.53,1782.74,0.2154,0.3499,0.4187,1.7204,269.34,0.0854,0.0633,1782.74,1103.53,679.21,8,27,37,ok,
